Age,Attrition,Attrition Date,Business Travel,Department,Distance From Home,Education,Education Field,Employee Number,Gender,Job Level,Job Role,Marital Status,Monthly Income,Num Companies Worked,Over Time,Over18,Percent Salary Hike,Random Number,Stock Option Level,Survey Questions,Survey Values,Total Working Years,Training Times Last Year,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Daily Rate,Employee Count,Hourly Rate,Monthly Rate,Performance Rating,Standard Hours
33,No,,Frequent,Research & Development,3,Master's Degree,Life Sciences,5,Female,1,Research Scientist,Married,2909,1,With Overtime,Y,11,56,None,Work Life Balance,Moderate,8,3,8,7,3,0,1392,1,56,23159,3,80
27,No,,Rare,Research & Development,2,High School,Medical,7,Male,1,Laboratory Technician,Married,3468,9,Without Overtime,Y,12,27,100-200,Environment Satisfaction,Very Low,6,3,2,2,2,2,591,1,40,16632,3,80
27,No,,Rare,Research & Development,2,High School,Medical,7,Male,1,Laboratory Technician,Married,3468,9,Without Overtime,Y,12,27,100-200,Job Involvement,Moderate,6,3,2,2,2,2,591,1,40,16632,3,80
27,No,,Rare,Research & Development,2,High School,Medical,7,Male,1,Laboratory Technician,Married,3468,9,Without Overtime,Y,12,27,100-200,Job Satisfaction,Low,6,3,2,2,2,2,591,1,40,16632,3,80
27,No,,Rare,Research & Development,2,High School,Medical,7,Male,1,Laboratory Technician,Married,3468,9,Without Overtime,Y,12,27,100-200,Relationship Satisfaction,High,6,3,2,2,2,2,591,1,40,16632,3,80
27,No,,Rare,Research & Development,2,High School,Medical,7,Male,1,Laboratory Technician,Married,3468,9,Without Overtime,Y,12,27,100-200,Work Life Balance,Moderate,6,3,2,2,2,2,591,1,40,16632,3,80
32,No,,Frequent,Research & Development,2,Associates Degree,Life Sciences,8,Male,1,Laboratory Technician,Single,3068,0,Without Overtime,Y,13,43,None,Environment Satisfaction,High,8,2,7,7,3,6,1005,1,79,11864,3,80
32,No,,Frequent,Research & Development,2,Associates Degree,Life Sciences,8,Male,1,Laboratory Technician,Single,3068,0,Without Overtime,Y,13,43,None,Job Involvement,Moderate,8,2,7,7,3,6,1005,1,79,11864,3,80
32,No,,Frequent,Research & Development,2,Associates Degree,Life Sciences,8,Male,1,Laboratory Technician,Single,3068,0,Without Overtime,Y,13,43,None,Job Satisfaction,High,8,2,7,7,3,6,1005,1,79,11864,3,80
32,No,,Frequent,Research & Development,2,Associates Degree,Life Sciences,8,Male,1,Laboratory Technician,Single,3068,0,Without Overtime,Y,13,43,None,Relationship Satisfaction,Moderate,8,2,7,7,3,6,1005,1,79,11864,3,80
32,No,,Frequent,Research & Development,2,Associates Degree,Life Sciences,8,Male,1,Laboratory Technician,Single,3068,0,Without Overtime,Y,13,43,None,Work Life Balance,Low,8,2,7,7,3,6,1005,1,79,11864,3,80
59,No,,Rare,Research & Development,3,Bachelor's Degree,Medical,10,Female,1,Laboratory Technician,Married,2670,4,With Overtime,Y,20,34,More than 500,Environment Satisfaction,Moderate,12,3,1,0,0,0,1324,1,81,9964,4,80
59,No,,Rare,Research & Development,3,Bachelor's Degree,Medical,10,Female,1,Laboratory Technician,Married,2670,4,With Overtime,Y,20,34,More than 500,Job Involvement,High,12,3,1,0,0,0,1324,1,81,9964,4,80
59,No,,Rare,Research & Development,3,Bachelor's Degree,Medical,10,Female,1,Laboratory Technician,Married,2670,4,With Overtime,Y,20,34,More than 500,Job Satisfaction,Very Low,12,3,1,0,0,0,1324,1,81,9964,4,80
59,No,,Rare,Research & Development,3,Bachelor's Degree,Medical,10,Female,1,Laboratory Technician,Married,2670,4,With Overtime,Y,20,34,More than 500,Relationship Satisfaction,Very Low,12,3,1,0,0,0,1324,1,81,9964,4,80
59,No,,Rare,Research & Development,3,Bachelor's Degree,Medical,10,Female,1,Laboratory Technician,Married,2670,4,With Overtime,Y,20,34,More than 500,Work Life Balance,Low,12,3,1,0,0,0,1324,1,81,9964,4,80
30,No,,Rare,Research & Development,24,High School,Life Sciences,11,Male,1,Laboratory Technician,Divorced,2693,1,Without Overtime,Y,22,325,100-200,Environment Satisfaction,High,1,2,1,0,0,0,1358,1,67,13335,4,80
30,No,,Rare,Research & Development,24,High School,Life Sciences,11,Male,1,Laboratory Technician,Divorced,2693,1,Without Overtime,Y,22,325,100-200,Job Involvement,Moderate,1,2,1,0,0,0,1358,1,67,13335,4,80
30,No,,Rare,Research & Development,24,High School,Life Sciences,11,Male,1,Laboratory Technician,Divorced,2693,1,Without Overtime,Y,22,325,100-200,Job Satisfaction,Moderate,1,2,1,0,0,0,1358,1,67,13335,4,80
30,No,,Rare,Research & Development,24,High School,Life Sciences,11,Male,1,Laboratory Technician,Divorced,2693,1,Without Overtime,Y,22,325,100-200,Relationship Satisfaction,Low,1,2,1,0,0,0,1358,1,67,13335,4,80
30,No,,Rare,Research & Development,24,High School,Life Sciences,11,Male,1,Laboratory Technician,Divorced,2693,1,Without Overtime,Y,22,325,100-200,Work Life Balance,Moderate,1,2,1,0,0,0,1358,1,67,13335,4,80
38,No,,Frequent,Research & Development,23,Bachelor's Degree,Life Sciences,12,Male,3,Manufacturing Director,Single,9526,0,Without Overtime,Y,21,316,None,Environment Satisfaction,High,10,2,9,7,1,8,216,1,44,8787,4,80
38,No,,Frequent,Research & Development,23,Bachelor's Degree,Life Sciences,12,Male,3,Manufacturing Director,Single,9526,0,Without Overtime,Y,21,316,None,Job Involvement,Low,10,2,9,7,1,8,216,1,44,8787,4,80
38,No,,Frequent,Research & Development,23,Bachelor's Degree,Life Sciences,12,Male,3,Manufacturing Director,Single,9526,0,Without Overtime,Y,21,316,None,Job Satisfaction,Moderate,10,2,9,7,1,8,216,1,44,8787,4,80
38,No,,Frequent,Research & Development,23,Bachelor's Degree,Life Sciences,12,Male,3,Manufacturing Director,Single,9526,0,Without Overtime,Y,21,316,None,Relationship Satisfaction,Low,10,2,9,7,1,8,216,1,44,8787,4,80
38,No,,Frequent,Research & Development,23,Bachelor's Degree,Life Sciences,12,Male,3,Manufacturing Director,Single,9526,0,Without Overtime,Y,21,316,None,Work Life Balance,Moderate,10,2,9,7,1,8,216,1,44,8787,4,80
36,No,,Rare,Research & Development,27,Bachelor's Degree,Medical,13,Male,2,Healthcare Representative,Married,5237,6,Without Overtime,Y,13,202,200-500,Environment Satisfaction,Moderate,17,3,7,7,7,7,1299,1,94,16577,3,80
36,No,,Rare,Research & Development,27,Bachelor's Degree,Medical,13,Male,2,Healthcare Representative,Married,5237,6,Without Overtime,Y,13,202,200-500,Job Involvement,Moderate,17,3,7,7,7,7,1299,1,94,16577,3,80
36,No,,Rare,Research & Development,27,Bachelor's Degree,Medical,13,Male,2,Healthcare Representative,Married,5237,6,Without Overtime,Y,13,202,200-500,Job Satisfaction,Moderate,17,3,7,7,7,7,1299,1,94,16577,3,80
36,No,,Rare,Research & Development,27,Bachelor's Degree,Medical,13,Male,2,Healthcare Representative,Married,5237,6,Without Overtime,Y,13,202,200-500,Relationship Satisfaction,Low,17,3,7,7,7,7,1299,1,94,16577,3,80
36,No,,Rare,Research & Development,27,Bachelor's Degree,Medical,13,Male,2,Healthcare Representative,Married,5237,6,Without Overtime,Y,13,202,200-500,Work Life Balance,Low,17,3,7,7,7,7,1299,1,94,16577,3,80
35,No,,Rare,Research & Development,16,Bachelor's Degree,Medical,14,Male,1,Laboratory Technician,Married,2426,0,Without Overtime,Y,13,125,100-200,Environment Satisfaction,Very Low,6,5,5,4,0,3,809,1,84,16479,3,80
35,No,,Rare,Research & Development,16,Bachelor's Degree,Medical,14,Male,1,Laboratory Technician,Married,2426,0,Without Overtime,Y,13,125,100-200,Job Involvement,High,6,5,5,4,0,3,809,1,84,16479,3,80
35,No,,Rare,Research & Development,16,Bachelor's Degree,Medical,14,Male,1,Laboratory Technician,Married,2426,0,Without Overtime,Y,13,125,100-200,Job Satisfaction,Low,6,5,5,4,0,3,809,1,84,16479,3,80
35,No,,Rare,Research & Development,16,Bachelor's Degree,Medical,14,Male,1,Laboratory Technician,Married,2426,0,Without Overtime,Y,13,125,100-200,Relationship Satisfaction,Moderate,6,5,5,4,0,3,809,1,84,16479,3,80
35,No,,Rare,Research & Development,16,Bachelor's Degree,Medical,14,Male,1,Laboratory Technician,Married,2426,0,Without Overtime,Y,13,125,100-200,Work Life Balance,Moderate,6,5,5,4,0,3,809,1,84,16479,3,80
29,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,15,Female,2,Laboratory Technician,Single,4193,0,With Overtime,Y,12,208,None,Environment Satisfaction,High,10,3,9,5,0,8,153,1,49,12682,3,80
29,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,15,Female,2,Laboratory Technician,Single,4193,0,With Overtime,Y,12,208,None,Job Involvement,Low,10,3,9,5,0,8,153,1,49,12682,3,80
29,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,15,Female,2,Laboratory Technician,Single,4193,0,With Overtime,Y,12,208,None,Job Satisfaction,Moderate,10,3,9,5,0,8,153,1,49,12682,3,80
29,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,15,Female,2,Laboratory Technician,Single,4193,0,With Overtime,Y,12,208,None,Relationship Satisfaction,High,10,3,9,5,0,8,153,1,49,12682,3,80
29,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,15,Female,2,Laboratory Technician,Single,4193,0,With Overtime,Y,12,208,None,Work Life Balance,Moderate,10,3,9,5,0,8,153,1,49,12682,3,80
31,No,,Rare,Research & Development,26,High School,Life Sciences,16,Male,1,Research Scientist,Divorced,2911,1,Without Overtime,Y,17,351,100-200,Environment Satisfaction,Very Low,5,1,5,2,4,3,670,1,31,15170,3,80
31,No,,Rare,Research & Development,26,High School,Life Sciences,16,Male,1,Research Scientist,Divorced,2911,1,Without Overtime,Y,17,351,100-200,Job Involvement,Moderate,5,1,5,2,4,3,670,1,31,15170,3,80
31,No,,Rare,Research & Development,26,High School,Life Sciences,16,Male,1,Research Scientist,Divorced,2911,1,Without Overtime,Y,17,351,100-200,Job Satisfaction,Moderate,5,1,5,2,4,3,670,1,31,15170,3,80
31,No,,Rare,Research & Development,26,High School,Life Sciences,16,Male,1,Research Scientist,Divorced,2911,1,Without Overtime,Y,17,351,100-200,Relationship Satisfaction,High,5,1,5,2,4,3,670,1,31,15170,3,80
31,No,,Rare,Research & Development,26,High School,Life Sciences,16,Male,1,Research Scientist,Divorced,2911,1,Without Overtime,Y,17,351,100-200,Work Life Balance,Low,5,1,5,2,4,3,670,1,31,15170,3,80
34,No,,Rare,Research & Development,19,Associates Degree,Medical,18,Male,1,Laboratory Technician,Divorced,2661,0,Without Overtime,Y,11,146,100-200,Environment Satisfaction,Low,3,2,2,2,1,2,1346,1,93,8758,3,80
34,No,,Rare,Research & Development,19,Associates Degree,Medical,18,Male,1,Laboratory Technician,Divorced,2661,0,Without Overtime,Y,11,146,100-200,Job Involvement,Moderate,3,2,2,2,1,2,1346,1,93,8758,3,80
34,No,,Rare,Research & Development,19,Associates Degree,Medical,18,Male,1,Laboratory Technician,Divorced,2661,0,Without Overtime,Y,11,146,100-200,Job Satisfaction,High,3,2,2,2,1,2,1346,1,93,8758,3,80
34,No,,Rare,Research & Development,19,Associates Degree,Medical,18,Male,1,Laboratory Technician,Divorced,2661,0,Without Overtime,Y,11,146,100-200,Relationship Satisfaction,Moderate,3,2,2,2,1,2,1346,1,93,8758,3,80
34,No,,Rare,Research & Development,19,Associates Degree,Medical,18,Male,1,Laboratory Technician,Divorced,2661,0,Without Overtime,Y,11,146,100-200,Work Life Balance,Moderate,3,2,2,2,1,2,1346,1,93,8758,3,80
28,Yes,05-07-2021,Rare,Research & Development,24,Bachelor's Degree,Life Sciences,19,Male,1,Laboratory Technician,Single,2028,5,With Overtime,Y,14,325,None,Environment Satisfaction,Moderate,6,4,4,2,0,3,103,1,50,12947,3,80
28,Yes,05-07-2021,Rare,Research & Development,24,Bachelor's Degree,Life Sciences,19,Male,1,Laboratory Technician,Single,2028,5,With Overtime,Y,14,325,None,Job Involvement,Low,6,4,4,2,0,3,103,1,50,12947,3,80
28,Yes,05-07-2021,Rare,Research & Development,24,Bachelor's Degree,Life Sciences,19,Male,1,Laboratory Technician,Single,2028,5,With Overtime,Y,14,325,None,Job Satisfaction,Moderate,6,4,4,2,0,3,103,1,50,12947,3,80
28,Yes,05-07-2021,Rare,Research & Development,24,Bachelor's Degree,Life Sciences,19,Male,1,Laboratory Technician,Single,2028,5,With Overtime,Y,14,325,None,Relationship Satisfaction,Low,6,4,4,2,0,3,103,1,50,12947,3,80
28,Yes,05-07-2021,Rare,Research & Development,24,Bachelor's Degree,Life Sciences,19,Male,1,Laboratory Technician,Single,2028,5,With Overtime,Y,14,325,None,Work Life Balance,Moderate,6,4,4,2,0,3,103,1,50,12947,3,80
29,No,,Rare,Research & Development,21,Master's Degree,Life Sciences,20,Female,3,Manufacturing Director,Divorced,9980,1,Without Overtime,Y,11,286,100-200,Environment Satisfaction,Low,10,1,10,9,8,8,1389,1,51,10195,3,80
29,No,,Rare,Research & Development,21,Master's Degree,Life Sciences,20,Female,3,Manufacturing Director,Divorced,9980,1,Without Overtime,Y,11,286,100-200,Job Involvement,High,10,1,10,9,8,8,1389,1,51,10195,3,80
29,No,,Rare,Research & Development,21,Master's Degree,Life Sciences,20,Female,3,Manufacturing Director,Divorced,9980,1,Without Overtime,Y,11,286,100-200,Job Satisfaction,Very Low,10,1,10,9,8,8,1389,1,51,10195,3,80
29,No,,Rare,Research & Development,21,Master's Degree,Life Sciences,20,Female,3,Manufacturing Director,Divorced,9980,1,Without Overtime,Y,11,286,100-200,Relationship Satisfaction,Moderate,10,1,10,9,8,8,1389,1,51,10195,3,80
29,No,,Rare,Research & Development,21,Master's Degree,Life Sciences,20,Female,3,Manufacturing Director,Divorced,9980,1,Without Overtime,Y,11,286,100-200,Work Life Balance,Moderate,10,1,10,9,8,8,1389,1,51,10195,3,80
32,No,,Rare,Research & Development,5,Associates Degree,Life Sciences,21,Male,1,Research Scientist,Divorced,3298,0,With Overtime,Y,12,78,200-500,Environment Satisfaction,Very Low,7,5,6,2,0,5,334,1,80,15053,3,80
32,No,,Rare,Research & Development,5,Associates Degree,Life Sciences,21,Male,1,Research Scientist,Divorced,3298,0,With Overtime,Y,12,78,200-500,Job Involvement,High,7,5,6,2,0,5,334,1,80,15053,3,80
32,No,,Rare,Research & Development,5,Associates Degree,Life Sciences,21,Male,1,Research Scientist,Divorced,3298,0,With Overtime,Y,12,78,200-500,Job Satisfaction,Low,7,5,6,2,0,5,334,1,80,15053,3,80
32,No,,Rare,Research & Development,5,Associates Degree,Life Sciences,21,Male,1,Research Scientist,Divorced,3298,0,With Overtime,Y,12,78,200-500,Relationship Satisfaction,High,7,5,6,2,0,5,334,1,80,15053,3,80
32,No,,Rare,Research & Development,5,Associates Degree,Life Sciences,21,Male,1,Research Scientist,Divorced,3298,0,With Overtime,Y,12,78,200-500,Work Life Balance,Low,7,5,6,2,0,5,334,1,80,15053,3,80
22,No,,Non,Research & Development,16,Associates Degree,Medical,22,Male,1,Laboratory Technician,Divorced,2935,1,With Overtime,Y,13,122,200-500,Environment Satisfaction,High,1,2,1,0,0,0,1123,1,96,7324,3,80
22,No,,Non,Research & Development,16,Associates Degree,Medical,22,Male,1,Laboratory Technician,Divorced,2935,1,With Overtime,Y,13,122,200-500,Job Involvement,High,1,2,1,0,0,0,1123,1,96,7324,3,80
22,No,,Non,Research & Development,16,Associates Degree,Medical,22,Male,1,Laboratory Technician,Divorced,2935,1,With Overtime,Y,13,122,200-500,Job Satisfaction,High,1,2,1,0,0,0,1123,1,96,7324,3,80
22,No,,Non,Research & Development,16,Associates Degree,Medical,22,Male,1,Laboratory Technician,Divorced,2935,1,With Overtime,Y,13,122,200-500,Relationship Satisfaction,Low,1,2,1,0,0,0,1123,1,96,7324,3,80
22,No,,Non,Research & Development,16,Associates Degree,Medical,22,Male,1,Laboratory Technician,Divorced,2935,1,With Overtime,Y,13,122,200-500,Work Life Balance,Low,1,2,1,0,0,0,1123,1,96,7324,3,80
53,No,,Rare,Sales,2,Master's Degree,Life Sciences,23,Female,4,Manager,Married,15427,2,Without Overtime,Y,16,39,None,Environment Satisfaction,Very Low,31,3,25,8,3,7,1219,1,78,22021,3,80
53,No,,Rare,Sales,2,Master's Degree,Life Sciences,23,Female,4,Manager,Married,15427,2,Without Overtime,Y,16,39,None,Job Involvement,Low,31,3,25,8,3,7,1219,1,78,22021,3,80
53,No,,Rare,Sales,2,Master's Degree,Life Sciences,23,Female,4,Manager,Married,15427,2,Without Overtime,Y,16,39,None,Job Satisfaction,High,31,3,25,8,3,7,1219,1,78,22021,3,80
53,No,,Rare,Sales,2,Master's Degree,Life Sciences,23,Female,4,Manager,Married,15427,2,Without Overtime,Y,16,39,None,Relationship Satisfaction,Moderate,31,3,25,8,3,7,1219,1,78,22021,3,80
53,No,,Rare,Sales,2,Master's Degree,Life Sciences,23,Female,4,Manager,Married,15427,2,Without Overtime,Y,16,39,None,Work Life Balance,Moderate,31,3,25,8,3,7,1219,1,78,22021,3,80
38,No,,Rare,Research & Development,2,Bachelor's Degree,Life Sciences,24,Male,1,Research Scientist,Single,3944,5,With Overtime,Y,11,39,None,Environment Satisfaction,High,6,3,3,2,1,2,371,1,45,4306,3,80
38,No,,Rare,Research & Development,2,Bachelor's Degree,Life Sciences,24,Male,1,Research Scientist,Single,3944,5,With Overtime,Y,11,39,None,Job Involvement,Moderate,6,3,3,2,1,2,371,1,45,4306,3,80
38,No,,Rare,Research & Development,2,Bachelor's Degree,Life Sciences,24,Male,1,Research Scientist,Single,3944,5,With Overtime,Y,11,39,None,Job Satisfaction,High,6,3,3,2,1,2,371,1,45,4306,3,80
38,No,,Rare,Research & Development,2,Bachelor's Degree,Life Sciences,24,Male,1,Research Scientist,Single,3944,5,With Overtime,Y,11,39,None,Relationship Satisfaction,Moderate,6,3,3,2,1,2,371,1,45,4306,3,80
38,No,,Rare,Research & Development,2,Bachelor's Degree,Life Sciences,24,Male,1,Research Scientist,Single,3944,5,With Overtime,Y,11,39,None,Work Life Balance,Moderate,6,3,3,2,1,2,371,1,45,4306,3,80
24,No,,Non,Research & Development,11,Associates Degree,Other,26,Female,2,Manufacturing Director,Divorced,4011,0,Without Overtime,Y,18,65,100-200,Environment Satisfaction,Very Low,5,5,4,2,1,3,673,1,96,8232,3,80
24,No,,Non,Research & Development,11,Associates Degree,Other,26,Female,2,Manufacturing Director,Divorced,4011,0,Without Overtime,Y,18,65,100-200,Job Involvement,High,5,5,4,2,1,3,673,1,96,8232,3,80
24,No,,Non,Research & Development,11,Associates Degree,Other,26,Female,2,Manufacturing Director,Divorced,4011,0,Without Overtime,Y,18,65,100-200,Job Satisfaction,Moderate,5,5,4,2,1,3,673,1,96,8232,3,80
24,No,,Non,Research & Development,11,Associates Degree,Other,26,Female,2,Manufacturing Director,Divorced,4011,0,Without Overtime,Y,18,65,100-200,Relationship Satisfaction,High,5,5,4,2,1,3,673,1,96,8232,3,80
24,No,,Non,Research & Development,11,Associates Degree,Other,26,Female,2,Manufacturing Director,Divorced,4011,0,Without Overtime,Y,18,65,100-200,Work Life Balance,Low,5,5,4,2,1,3,673,1,96,8232,3,80
36,Yes,16-01-2022,Rare,Sales,9,Master's Degree,Life Sciences,27,Male,1,Sales Representative,Single,3407,7,Without Overtime,Y,23,130,None,Environment Satisfaction,Moderate,10,4,5,3,0,3,1218,1,82,6986,4,80
36,Yes,16-01-2022,Rare,Sales,9,Master's Degree,Life Sciences,27,Male,1,Sales Representative,Single,3407,7,Without Overtime,Y,23,130,None,Job Involvement,Low,10,4,5,3,0,3,1218,1,82,6986,4,80
36,Yes,16-01-2022,Rare,Sales,9,Master's Degree,Life Sciences,27,Male,1,Sales Representative,Single,3407,7,Without Overtime,Y,23,130,None,Job Satisfaction,Very Low,10,4,5,3,0,3,1218,1,82,6986,4,80
36,Yes,16-01-2022,Rare,Sales,9,Master's Degree,Life Sciences,27,Male,1,Sales Representative,Single,3407,7,Without Overtime,Y,23,130,None,Relationship Satisfaction,Low,10,4,5,3,0,3,1218,1,82,6986,4,80
36,Yes,16-01-2022,Rare,Sales,9,Master's Degree,Life Sciences,27,Male,1,Sales Representative,Single,3407,7,Without Overtime,Y,23,130,None,Work Life Balance,Moderate,10,4,5,3,0,3,1218,1,82,6986,4,80
34,No,,Rare,Research & Development,7,Master's Degree,Life Sciences,28,Female,3,Research Director,Single,11994,0,Without Overtime,Y,11,104,None,Environment Satisfaction,Very Low,13,4,12,6,2,11,419,1,53,21293,3,80
34,No,,Rare,Research & Development,7,Master's Degree,Life Sciences,28,Female,3,Research Director,Single,11994,0,Without Overtime,Y,11,104,None,Job Involvement,Moderate,13,4,12,6,2,11,419,1,53,21293,3,80
34,No,,Rare,Research & Development,7,Master's Degree,Life Sciences,28,Female,3,Research Director,Single,11994,0,Without Overtime,Y,11,104,None,Job Satisfaction,Low,13,4,12,6,2,11,419,1,53,21293,3,80
34,No,,Rare,Research & Development,7,Master's Degree,Life Sciences,28,Female,3,Research Director,Single,11994,0,Without Overtime,Y,11,104,None,Relationship Satisfaction,Moderate,13,4,12,6,2,11,419,1,53,21293,3,80
34,No,,Rare,Research & Development,7,Master's Degree,Life Sciences,28,Female,3,Research Director,Single,11994,0,Without Overtime,Y,11,104,None,Work Life Balance,Moderate,13,4,12,6,2,11,419,1,53,21293,3,80
21,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,30,Male,1,Research Scientist,Single,1232,1,Without Overtime,Y,14,208,None,Environment Satisfaction,Moderate,0,6,0,0,0,0,391,1,96,19281,3,80
21,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,30,Male,1,Research Scientist,Single,1232,1,Without Overtime,Y,14,208,None,Job Involvement,Moderate,0,6,0,0,0,0,391,1,96,19281,3,80
21,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,30,Male,1,Research Scientist,Single,1232,1,Without Overtime,Y,14,208,None,Job Satisfaction,High,0,6,0,0,0,0,391,1,96,19281,3,80
21,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,30,Male,1,Research Scientist,Single,1232,1,Without Overtime,Y,14,208,None,Relationship Satisfaction,High,0,6,0,0,0,0,391,1,96,19281,3,80
21,No,,Rare,Research & Development,15,Associates Degree,Life Sciences,30,Male,1,Research Scientist,Single,1232,1,Without Overtime,Y,14,208,None,Work Life Balance,Moderate,0,6,0,0,0,0,391,1,96,19281,3,80
34,Yes,01-04-2022,Rare,Research & Development,6,High School,Medical,31,Male,1,Research Scientist,Single,2960,2,Without Overtime,Y,11,55,None,Environment Satisfaction,Low,8,2,4,2,1,3,699,1,83,17102,3,80
34,Yes,01-04-2022,Rare,Research & Development,6,High School,Medical,31,Male,1,Research Scientist,Single,2960,2,Without Overtime,Y,11,55,None,Job Involvement,Moderate,8,2,4,2,1,3,699,1,83,17102,3,80
34,Yes,01-04-2022,Rare,Research & Development,6,High School,Medical,31,Male,1,Research Scientist,Single,2960,2,Without Overtime,Y,11,55,None,Job Satisfaction,Very Low,8,2,4,2,1,3,699,1,83,17102,3,80
